subCatId,subCategory,parentId
547,"Solar Electricity",12
548,"Solar Energy Equipment & Works",12
549,"Solar Photovoltaic Manufacturers",12
550,"Solar Water Heater",12
551,"Sound & Light Equipment",8
552,Spices,9
553,"Sports Goods",2
554,Stationery,5
555,"Steel Fabricator",5
556,"Stone Crusher / Propel Crusher Wash Plant",12
557,"Stove & Petromax",5
558,"Sugar Manufacturers",12
559,"Supreme Court",6
560,"Sweet Shops",9
561,"Swimming Pools",2
562,"Tailor Shops",14
563,"Taxi Services",14
564,Tea,12
565,"Telephone, EPABX & Accessories",8
566,"Television Assembling, Dealers & Distributors, Sales & Repair",8
567,"Television Program Production",8
568,"Tent & Tarpaulin",14
569,Textiles,12
570,"Texture Coating",5
571,Tobacco,1
572,"Tooth Products",5
573,"Tourist Information Center",11
574,Toys,2
575,"Tractor Sales & Repair",3
576,"Trading Houses",5
577,"Training- Accounting",7
578,"Training- Beauty Parlours",7
579,"Electric & Electronics Training",7
580,"Training- Film, TV & Theatre",7
581,"Training- Hotel & Hospitality",7
582,"Training- Languages",7
583,"Training- Management & Marketing",7
584,"Training- Martial Arts/Army",7
585,"Training- Medical",7
586,"Training- Mobile Repairing & Servicing",7
587,"Training- Music & Dance",7
588,"Training- Banking/Others",7
589,"Training- Overseas Orientation",7
590,"Training- Photography & Videography",7
591,"Training- Pilot/Air Hostess",7
592,"Training- Polytechnic",7
593,"Training- Secretarial",7
594,Transformers,8
595,Translation,14
596,"Travel Agencies",11
597,"Trekking & Mountaineering Equipment",11
598,"Trekking Agencies",11
599,Turpentine,5
600,"Tyres & Tubes",3
601,"UPS & Inverters",8
602,"Veterinary Clinics",10
603,"Veterinary Medicine Shops",10
604,"Video Film Makers & Distributors",2
605,"Washing Machines Sales & Repair",5
606,"Watches & Clocks Sales & Repair",5
607,"Water Analysis Services",14
608,"Water Meter",5
609,"Water Proofing Materials",5
610,"Water Pumps",5
611,"Water Purifiers",5
612,"Water Suppliers",5
613,"Water Tanks Manufacturers & Sales",12
614,"Water Treatment Plant & Services",12
615,"Web Design/Development",14
616,"Web Hosting",14
617,"Wedding Planner",5
618,"Weighing Machines & Equipment",10
619,"Welding Equipment, Electrodes & Accessories",12
620,"Wire Drawing Equipment",12
621,Wool,1
622,"Worship Places",6
623,"X- Ray Chemicals",12
624,"Yarns & Threads",1
625,"Yoga Centers",10
626,"Zip Fastener",5
627,Zoo,2
628,"Autogas Station",3
629,"Montessori School",7
631,"Consultancies- Hydropower",14
633,"Commodity Market",5
634,"Importers & Exporters",5
635,"Survey Instruments",5
636,"Digital Print",14
637,"Mehendi Training Center",14
638,"Sewarage Treatment Plants- Supply & Services",14
639,"Home Care",10
640,"Repair & Maintenance",14
641,"Tattoo & Piercing",2
642,"Prefab Products",12
643,Futsal,2
644,"Event Decorator",14
645,"Tea & Coffee Machinery",5
647,"Master Batches",5
648,"Spa & Sauna",14
649,"Party Palace",14
650,"Clothing Store",14
654,"Montessori Materials",7
655,"Capital Market",14
656,"UPVC Profiles",14
657,"Restaurant Supply",9
658,"Cleaning Product/Service",5
659,"Online Business/Payment",14
660,"False Ceiling",14
663,"Hire Services",14
664,"Fire & Safety",5
666,Handicrafts-Consultancy,1
667,Church,622
668,"Pesticides & Chemical Purifier",5
672,"Doctors- Hematology",10
673,"Urgent",19
674,"Ambulance",19
675,"Blood Bank",19
676,"No Light",19
677,"Funeral Vehicle",19
678,"Funeral Materials",19
679,"Night Taxi",19
